Title,Link,Occupation,Company,Company Web,Company Location,Specs
Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/jyvmcn0ld920-data-analyst-helal-group-cairo-egypt,Full TimeOn-site,"New Cairo, Cairo, Egypt ","New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/Helal-Group-Egypt-67419,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Data · Data Analyst · Data Analysis · Analysis · analytical · Analyst · Computer Science · Information Technology (IT)
Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/ih9hxxoyxd1r-data-analyst-new-egypt-gold-qalubia-egypt,Full TimeOn-site,"Qalubia, Egypt ","Qalubia, Egypt ",https://wuzzuf.net/jobs/careers/new-egypt-gold-egypt-129274,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Analyst/Research · Analyst · Analysis · Data · Data Analysis · Data Analyst · Computer Science · Information Technology (IT)
Data Officer,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/wggxju8yvnvp-data-officer-option-travel-cairo-egypt,Full TimeOn-site,"Maadi, Cairo, Egypt ","Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/Option-Travel-Egypt-41988,Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Administration · Microsoft Office · Maintenance · Service Center · Data Analysis · Administration · office
Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/4mrmnshngngp-data-analyst-bnaia-cairo-egypt,Full TimeOn-site,"Maadi, Cairo, Egypt ","Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/shop4build-Egypt-56035,Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Analyst · analytical · business · Computer Science · Data · Data Analysis
Regional Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/2kbik3zhvhzn-regional-data-analyst-raya-customer-experience-giza-egypt,Full TimeOn-site,"Abu Rawash, Giza, Egypt ","Abu Rawash, Giza, Egypt ",https://wuzzuf.net/jobs/careers/Raya-Contact-Center-Egypt-19033,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Customer Service/Support · Operations/Management · Analyst/Research · Data Analysis · Analysis · analytical · Data · Reporting · English · operation management
Quality Data Analysis Engineer,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/a8x5zkearpwa-quality-data-analysis-engineer-sumitomo-electric-egypt-giza-egypt,Full TimeOn-site,"6th of October, Giza, Egypt ","6th of October, Giza, Egypt ",https://wuzzuf.net/jobs/careers/SE-Wiring-Systems-EGYPT-Egypt-23300,Full TimeOn-siteEntry Level · 1 - 2 Yrs of Exp · Quality · Analyst/Research · Engineering - Mechanical/Electrical · SQL · Data Analysis · quality · Engineering · Microsoft Office · Communication
Senior Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/gengzhyy4lii-senior-data-analyst-allianz-cairo-egypt,Full TimeOn-site,"New Cairo, Cairo, Egypt ","New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/Allianz-Egypt-14076,Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Analyst/Research · Data Analysis · Data · Insurance · Retail · Statistics · Analysis · Computer Science · Information Technology (IT) · Science
Commercial Specialist ( Junior Data Analyst ),https://wuzzuf.nethttps://wuzzuf.net/jobs/p/uv8rwtnyalcg-commercial-specialist-junior-data-analyst-realme-cairo-egypt,Full TimeOn-site,"Nasr City, Cairo, Egypt ","Nasr City, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/realme-Egypt-38950,Full TimeOn-siteEntry Level · 1+ Yrs of Exp · Business Development · Analyst/Research · Sales/Retail · Statistics · Sales · Analysis · Business Analysis · Market Research · Research · Finance
Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/lwbmw9egqhnf-data-analyst-selah-eltelmeez-for-publishing-printing-cairo-egypt,Full TimeOn-site,"Obour City, Cairo, Egypt ","Obour City, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/Selah-ElTelmeez-For-Publishing---printing-Egypt-31447,Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · females_only · Analyst/Research · Analysis · analytical · business · Computer Science · Data Analyst · Reporting · Statistics · Analyst · Information Technology (IT)
Data Entry Specialist (Planning),https://wuzzuf.nethttps://wuzzuf.net/jobs/p/7tfbzh0nryaw-data-entry-specialist-planning-egyptian-starch-and-glucose-manufacturing-company-qalubia-egypt,Full TimeShift BasedOn-site,"Musturad, Qalubia, Egypt ","Musturad, Qalubia, Egypt ",https://wuzzuf.net/jobs/careers/Egyptian-Starch-and-Glucose--Manufacturing-Company-Egypt-59114,Full TimeShift BasedOn-siteEntry Level · 1 - 2 Yrs of Exp · Administration · Other · accuracy · Data Entry · Data · entry · Microsoft Office · Skills · Analysis · Microsoft Excel
Data Analysis Specialist ( Powe Bi ),https://wuzzuf.nethttps://wuzzuf.net/jobs/p/zoklfferutrq-data-analysis-specialist-powe-bi-global-tires-trading-and-distribution-cairo-egypt,Full TimeOn-site,"New Cairo, Cairo, Egypt ","New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/Global-tires-Egypt-110948,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Administration · IT/Software Development · Analyst/Research · Analysis · business · Data · Data Analysis · Engineering · English · Information Technology (IT)
Financial Planning and Analysis Manager,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/gtwrbonl0uie-financial-planning-and-analysis-manager-giza-egypt,Full TimeOn-site,"6th of October, Giza, Egypt ","6th of October, Giza, Egypt ",,Full TimeOn-siteManager · 8+ Yrs of Exp · Accounting/Finance · Analyst/Research · Communication · Analysis · Budgeting · Finance · Financial Analysis · Financial Management · Management · SAP
Financial Planning And Analysis Section Head,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/bmgcl3yhh6vu-financial-planning-and-analysis-section-head-redcon-spain-cairo-egypt,Full TimeOn-site,"Heliopolis, Cairo, Egypt ","Heliopolis, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/Redcon-Spain-Egypt-38501,Full TimeOn-siteManager · 5 - 8 Yrs of Exp · Accounting/Finance · Engineering - Construction/Civil/Architecture · Accounting · excel · ERP · CPA · CFA · analytical · Finance · Financial Analysis
FP&A Section Head (Financial Planning & Analysis),https://wuzzuf.nethttps://wuzzuf.net/jobs/p/yu9fwkf2m1m0-fpa-section-head-financial-planning-analysis-cairo-egypt,Full TimeOn-site,"Obour City, Cairo, Egypt ","Obour City, Cairo, Egypt ",,Full TimeOn-siteManager · 10 - 15 Yrs of Exp · Accounting/Finance · Analysis · Finance · Financial Analysis · Financial Management · A/B Testing · Accounting
Data Scientist,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/8oulgynroyag-data-scientist-egabi-fsi-cairo-egypt,Full TimeOn-site,"Sheraton, Cairo, Egypt ","Sheraton, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/egabi-solution-Egypt-2056,Full TimeOn-siteEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Data Mining · Data Science · data scientist · Hadoop · Machine Learning · Python · SQL
Financial Planning & Analysis (FP&A),https://wuzzuf.nethttps://wuzzuf.net/jobs/p/cfctoiafdrdd-financial-planning-analysis-fpa-enaya-care-international-company-for-beauty-comfort-giza-egypt,Full TimeOn-site,"Mohandessin, Giza, Egypt ","Mohandessin, Giza, Egypt ",https://wuzzuf.net/jobs/careers/ENAYA CARE INTERNATIONAL COMPANY FOR BEAUTY AND COMFORT-Saudi Arabia-112243,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · Financial Analysis · Financial Management · Reporting · Communication skills · Financial · Finance · excel · reports
Quality Control Specialist - Alexanderia,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/htj04uiti62c-quality-control-specialist-alexanderia-arabian-monayri-for-industry-shipping-trade-alexandria-egypt,Full TimeOn-site,"Bab Sharq, Alexandria, Egypt ","Bab Sharq, Alexandria, Egypt ",https://wuzzuf.net/jobs/careers/Horus-Shipping--amp--Transport-Egypt-42324,Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · males_only · Quality · Analysis · Data Analysis · Manufacturing · quality · Quality Control · Quality Management
Senior Power BI Developer (GeoLocation Specialist),https://wuzzuf.nethttps://wuzzuf.net/jobs/p/csxn8y1uwsfw-senior-power-bi-developer-geolocation-specialist-madar-soft-alexandria-egypt,Full TimeRemote,"Fleming, Alexandria, Egypt ","Fleming, Alexandria, Egypt ",https://wuzzuf.net/jobs/careers/Madar-Soft-Egypt-14834,Full TimeRemoteExperienced · 3 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · BI · Python · SQL Server · SQL · SSIS · Computer Science · Data Modeling
Financial Reporting & Analysis Lead,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/ytv3qzllytex-financial-reporting-analysis-lead-bayt-el-khebra-cairo-egypt,Full TimeOn-site,"Maadi, Cairo, Egypt ","Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/-22269,Full TimeOn-siteExperienced · 7 - 10 Yrs of Exp · males_only · Accounting/Finance · CMA · Financial · Financial Analysis · IFRS · Accounting · Accounting Systems
Marketing Manager,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/3xxti6avupx8-marketing-manager-arx-developments-cairo-egypt,Full TimeOn-site,"Cairo, Egypt ","Cairo, Egypt ",https://wuzzuf.net/jobs/careers/-125841,Full TimeOn-siteManager · 10 - 13 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Analysis · Analytics · Ads · Google Analytics · Market Research · Leadership · Data Analysis
Product Manager – Data & AI Products,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/7qu8aw9vozor-product-manager-data-ai-products-hiremoters-cairo-egypt,Full TimeRemote,"Cairo, Egypt ","Cairo, Egypt ",https://wuzzuf.net/jobs/careers/HiRemoters-Egypt-125803,Full TimeRemoteExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Communication · Computer Science · data-driven · Engineering · Information Technology (IT) · Management · Product Management · SQL · Product Strategy & Roadmapping
Data Scientist,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/8oulgynroyag-data-scientist-egabi-fsi-cairo-egypt,Full TimeOn-site,"Sheraton, Cairo, Egypt ","Sheraton, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/egabi-solution-Egypt-2056,Full TimeOn-siteEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Data Mining · Data Science · data scientist · Hadoop · Machine Learning · Python · SQL
Data Scientist,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/bu1ksr9tke5x-data-scientist-lumin-giza-egypt,Full TimeHybrid,"Sheikh Zayed, Giza, Egypt ","Sheikh Zayed, Giza, Egypt ",https://wuzzuf.net/jobs/careers/Excel-Systems-LLC-Egypt-13729,Full TimeHybridExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Analysis · Mathematics · Data Analysis · Hadoop · Data Science · Information Technology (IT)
Information Analyst – Data Scientist,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/ric2lbqwad48-information-analyst-data-scientist-cairo-egypt,Full TimeRemote,"Maadi, Cairo, Egypt ","Maadi, Cairo, Egypt ",,Full TimeRemoteExperienced · 5 - 8 Yrs of Exp · IT/Software Development · analytical · Business Intelligence · Computer Science · Data Analyst · Data Analysis · Statistics · Analysis · Data · Database
Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/q3q0pe5ivmo0-data-analyst-eltawheed-sharqia-egypt,Full TimeOn-site,"10th of Ramadan City, Sharqia, Egypt ","10th of Ramadan City, Sharqia, Egypt ",https://wuzzuf.net/jobs/careers/eltawheed-egypt-129704,Full TimeOn-siteEntry Level · 1 - 4 Yrs of Exp · Operations/Management · Analyst · Data Analysis · Analysis · analytical · business · Computer Science · Data Analyst · Data · Economics
Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/zwllib1i7z5q-data-analyst-misr-international-hospital-giza-egypt,Full TimeOn-site,"Dokki, Giza, Egypt ","Dokki, Giza, Egypt ",https://wuzzuf.net/jobs/careers/-104632,Full TimeOn-siteExperienced · 2+ Yrs of Exp · Business Development · Analyst/Research · Analysis · BI · business · Computer Science · Data · Data Analysis · excel · Information Technology (IT)
Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/ilxnurcn2emt-data-analyst-kirmena-jewellery-cairo-egypt,Full TimeOn-site,"Obour City, Cairo, Egypt ","Obour City, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/Kirmena-Jewellery-Egypt-15436,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Analyst/Research · Data Analysis · Data Mining · Analysis · Analyst · analytical · Analyze · business · Computer Science · Data
Data Engineer Team Lead,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/nudjhsulxmyk-data-engineer-team-lead-cob-solution-cairo-egypt,Full TimeOn-site,"Maadi, Cairo, Egypt ","Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/COB Solution-Egypt-112388,Full TimeOn-siteManager · 4 - 6 Yrs of Exp · IT/Software Development · Computer Science · Engineering · Data · Information Technology (IT) · Software · Computer Engineering · AWS · Azure · Java
Data Test Lead,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/chnuykrllmby-data-test-lead-taqin-valley-cairo-egypt,Full TimeHybrid,"Cairo, Egypt ","Cairo, Egypt ",https://wuzzuf.net/jobs/careers/Taqin Valley-Saudi Arabia-122984,Full TimeHybridExperienced · 3 - 6 Yrs of Exp · IT/Software Development · QA · Software Testing · SQL · Quality Assurance · Testing · Analysis · Computer Science · Information Technology (IT) · MongoDB
Senior Data Testing Engineer,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/xwee4ibioiqc-senior-data-testing-engineer-taqin-valley-cairo-egypt,Full TimeHybrid,"Cairo, Egypt ","Cairo, Egypt ",https://wuzzuf.net/jobs/careers/Taqin Valley-Saudi Arabia-122984,Full TimeHybridExperienced · 3 - 4 Yrs of Exp · IT/Software Development · QA · Software Testing · SQL · Quality Assurance · Testing · Analysis · Computer Science · ETL · Information Technology (IT)
Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/l9law3rx8jbr-data-analyst-carina-wear-cairo-egypt,Full TimeOn-site,"New Cairo, Cairo, Egypt ","New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/Carina-Wear-Office-Egypt-20411,Full TimeOn-siteEntry Level · 1+ Yrs of Exp · Analyst/Research · Computer Science · Data Analysis · Power BI · Tableau · SQL · Microsoft Excel · analytical · Data · BI
Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/jyvmcn0ld920-data-analyst-helal-group-cairo-egypt,Full TimeOn-site,"New Cairo, Cairo, Egypt ","New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/Helal-Group-Egypt-67419,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Data · Data Analyst · Data Analysis · Analysis · analytical · Analyst · Computer Science · Information Technology (IT)
Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/ih9hxxoyxd1r-data-analyst-new-egypt-gold-qalubia-egypt,Full TimeOn-site,"Qalubia, Egypt ","Qalubia, Egypt ",https://wuzzuf.net/jobs/careers/new-egypt-gold-egypt-129274,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Analyst/Research · Analyst · Analysis · Data · Data Analysis · Data Analyst · Computer Science · Information Technology (IT)
Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/4mrmnshngngp-data-analyst-bnaia-cairo-egypt,Full TimeOn-site,"Maadi, Cairo, Egypt ","Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/shop4build-Egypt-56035,Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Analyst · analytical · business · Computer Science · Data · Data Analysis
Data Engineer,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/uomigj9unfl4-data-engineer-creotech-cairo-egypt,Full TimeOn-site,"Cairo, Egypt ","Cairo, Egypt ",https://wuzzuf.net/jobs/careers/creotech-egypt-128849,Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Information Technology (IT) · Maintenance · Engineering · AWS · Data
Senior Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/gengzhyy4lii-senior-data-analyst-allianz-cairo-egypt,Full TimeOn-site,"New Cairo, Cairo, Egypt ","New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/Allianz-Egypt-14076,Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Analyst/Research · Data Analysis · Data · Insurance · Retail · Statistics · Analysis · Computer Science · Information Technology (IT) · Science
Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/lwbmw9egqhnf-data-analyst-selah-eltelmeez-for-publishing-printing-cairo-egypt,Full TimeOn-site,"Obour City, Cairo, Egypt ","Obour City, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/Selah-ElTelmeez-For-Publishing---printing-Egypt-31447,Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · females_only · Analyst/Research · Analysis · analytical · business · Computer Science · Data Analyst · Reporting · Statistics · Analyst · Information Technology (IT)
"BI DWH BIG Data ""Outsource""",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/8oc5l4irpbdq-bi-dwh-big-data-outsource-efada-technology-giza-egypt,Full TimeHybrid,"6th of October, Giza, Egypt ","6th of October, Giza, Egypt ",https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085,Full TimeHybridExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · Computer Science · Database · Information Technology (IT) · Oracle · SQL · PLSql
Senior Data Analyst,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/kbzexl37bjxb-senior-data-analyst-xceed-contact-center-cairo-egypt,Full TimeOn-site,"Cairo, Egypt ","Cairo, Egypt ",https://wuzzuf.net/jobs/careers/XCEEDCC-Egypt-52679,Full TimeOn-siteExperienced · 3+ Yrs of Exp · Analyst/Research · Engineering - Telecom/Technology · ETL · Data Analysis · Communication skills · Python · SQL · Business Intelligence · PowerBI · Pandas
Senior Power BI Developer (GeoLocation Specialist),https://wuzzuf.nethttps://wuzzuf.net/jobs/p/csxn8y1uwsfw-senior-power-bi-developer-geolocation-specialist-madar-soft-alexandria-egypt,Full TimeRemote,"Fleming, Alexandria, Egypt ","Fleming, Alexandria, Egypt ",https://wuzzuf.net/jobs/careers/Madar-Soft-Egypt-14834,Full TimeRemoteExperienced · 3 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · BI · Python · SQL Server · SQL · SSIS · Computer Science · Data Modeling
BI Developer,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/7uwaasxsqmcd-bi-developer-egabi-fsi-cairo-egypt,Full TimeOn-site,"Sheraton, Cairo, Egypt ","Sheraton, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/egabi-solution-Egypt-2056,Full TimeOn-siteExperienced · 1 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · OBIEE · Analysis · BI Developer · BI · Data Modeling · ETL · Database
AI Engineer,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/qgconbaaa2gf-ai-engineer-provision-group-cairo-egypt,Full TimePart TimeFreelance / ProjectHybrid,"Maadi, Cairo, Egypt ","Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/ProVision-Group-Egypt-10789,Full TimePart TimeFreelance / ProjectHybridExperienced · 2 - 7 Yrs of Exp · IT/Software Development · AI · Computer Vision · Data Science · Machine Learning
Senior Full stack Developer (.Net Core & Angular),https://wuzzuf.nethttps://wuzzuf.net/jobs/p/dfpyjgktekwj-senior-full-stack-developer-net-core-angular-bi-technologies-cairo-egypt,Full TimeHybrid,"New Cairo, Cairo, Egypt ","New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/BI-Technologies-Egypt-14526,Full TimeHybridExperienced · 3 - 6 Yrs of Exp · IT/Software Development · ASP.NET · Software Development · .NET · Information Technology (IT) · Full Stack · Computer Science · Computer Engineering · Database Design · Data Modeling
Software Development Manager,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/6usftpppfu2x-software-development-manager-giza-egypt,Full TimeHybrid,"6th of October, Giza, Egypt ","6th of October, Giza, Egypt ",,Full TimeHybridManager · 10+ Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Azure · Computer Science · developer · Engineering · ERP System · Information Technology (IT) · ERP
Reporting Developer- Power BI,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/jtcfz44bxgxl-reporting-developer-power-bi-egabi-fsi-cairo-egypt,Full TimeOn-site,"Sheraton, Cairo, Egypt ","Sheraton, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/egabi-solution-Egypt-2056,Full TimeOn-siteExperienced · 3 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Power BI · Azure · Computer Science · Data Analytics · BI · Data Modeling · Power · SQL
Graduate Internship: Enterprise Software Engineering,https://wuzzuf.nethttps://wuzzuf.net/internship/2tshmlfj3ha9-graduate-internship-enterprise-software-engineering-et3-tomorrow-information-technology-cairo-egypt,InternshipHybrid,"New Cairo, Cairo, Egypt ","New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/careers/eT3---Tomorrow-Information-Technology-Egypt-5525,InternshipHybridEntry Level · IT/Software Development · Computer Science · Software Development · Software Engineering · Computer Engineering · Back-End Development · Front-End Development · front-end web development · Software Testing · Data Engineering
e&UAE (Mail&chat)B2 English speakers Graduates,https://wuzzuf.nethttps://wuzzuf.net/jobs/p/kfwkzmm11iej-euae-mailchatb2-english-speakers-graduates-etisalat-egypt-cairo-egypt,Full TimeOn-site,"Cairo, Egypt ","Cairo, Egypt ",https://wuzzuf.net/jobs/careers/Etisalat-Misr-Egypt-4219,Full TimeOn-siteEntry Level · 0 - 4 Yrs of Exp · R&D/Science · Customer Service/Support · IT/Software Development · Customer Service · Call Center · Customer Care · Customer Support · Customer Relations · Customer Satisfaction · Customer Retention
